ORIGIN,DEST
MIA,SLC
MIA,STL
MIA,STT
MIA,STX
MIA,TPA
MKE,FLL
MKE,MCO
MKE,RSW
MKE,TPA
MLB,ATL
MSP,FLL
MSP,JAX
MSP,MCO
MSP,MIA
MSP,RSW
MSP,TPA
MSY,FLL
MSY,MCO
MSY,MIA
MSY,TPA
MYR,FLL
OMA,MCO
ORD,FLL
ORD,MCO
ORD,MIA
ORD,PBI
ORD,PNS
ORD,RSW
ORD,SRQ
ORD,TPA
ORF,MCO
ORH,FLL
ORH,MCO
PBG,FLL
PBG,MCO
PBI,ACY
PBI,ATL
PBI,BDL
PBI,BOS
PBI,BWI
PBI,CLT
PBI,DCA
PBI,DFW
PBI,DTW
PBI,EWR
PBI,HPN
PBI,IAH
PBI,ISP
PBI,JFK
PBI,LGA
PBI,ORD
PBI,PHL
PBI,TTN
PDX,MCO
PGD,TTN
PHL,FLL
PHL,JAX
PHL,MCO
PHL,MIA
PHL,PBI
PHL,RSW
PHL,TPA
PHX,FLL
PHX,MCO
PHX,MIA
PHX,TPA
PIT,FLL
PIT,MCO
PIT,RSW
PIT,TPA
PNS,ATL
PNS,BNA
PNS,DFW
PNS,HOU
PNS,IAH
PNS,ORD
PSE,MCO
PVD,FLL
PVD,MCO
PVD,RSW
PVD,TPA
RDU,FLL
RDU,MCO
RDU,MIA
RDU,TPA
RIC,FLL
RIC,MCO
ROC,MCO
ROC,TPA
RSW,ACY
RSW,ATL
RSW,BDL
RSW,BNA
RSW,BOS
RSW,BUF
RSW,BWI
RSW,CLE
RSW,CLT
RSW,CMH
RSW,CVG
RSW,DCA
RSW,DEN
RSW,DFW
RSW,DTW
RSW,EWR
RSW,GRR
RSW,HPN
RSW,IAH
RSW,IND
RSW,JFK
RSW,LGA
RSW,MCI
RSW,MDW
RSW,MKE
RSW,MSP
RSW,ORD
RSW,PHL
RSW,PIT
RSW,PVD
RSW,STL
SAN,FLL
SAN,MCO
SAN,MIA
SAT,MCO
SAT,MIA
SAT,TPA
SDF,MCO
SDF,TPA
SEA,FLL
SEA,MCO
SEA,MIA
SEA,TPA
SFO,FLL
SFO,MCO
SFO,MIA
SFO,TPA
SJU,FLL
SJU,MCO
SJU,MIA
SJU,TPA
SLC,FLL
SLC,MCO
SLC,MIA
SRQ,ATL
SRQ,BOS
SRQ,EWR
SRQ,JFK
SRQ,LGA
SRQ,ORD
STL,ECP
STL,FLL
STL,MCO
STL,MIA
STL,RSW
STL,TPA
STT,FLL
STT,MIA
STX,MIA
SWF,FLL
SWF,MCO
SYR,FLL
SYR,MCO
TLH,ATL
TPA,ACY
TPA,ALB
TPA,ATL
TPA,AUS
TPA,BDL
TPA,BHM
TPA,BNA
TPA,BOS
TPA,BUF
TPA,BWI
TPA,CLE
TPA,CLT
TPA,CMH
TPA,CVG
TPA,DAL
TPA,DCA
TPA,DEN
TPA,DFW
TPA,DTW
TPA,EWR
TPA,FLL
TPA,GRR
TPA,HOU
TPA,HPN
TPA,IAD
TPA,IAH
TPA,IND
TPA,ISP
TPA,JFK
TPA,LAS
TPA,LAX
TPA,LGA
TPA,MCI
TPA,MDW
TPA,MEM
TPA,MHT
TPA,MIA
TPA,MKE
TPA,MSP
TPA,MSY
TPA,ORD
TPA,PHL
TPA,PHX
TPA,PIT
TPA,PVD
TPA,RDU
TPA,ROC
TPA,SAT
TPA,SDF
TPA,SEA
TPA,SFO
TPA,SJU
TPA,STL
TPA,TTN
TTN,FLL
TTN,MCO
TTN,PBI
TTN,PGD
TTN,TPA
VPS,ATL
VPS,DFW
VPS,IAH
